yts_codearticle;yts_tariftiers;yts_datedebut;yts_datefin;yts_prixnet
LJC10539;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10542;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10548;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10557;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10570;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10572;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC200144;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC210099;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC210148;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC210297;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC3229;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC6438;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC6447;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC6472;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC7072;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC99139;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC9934;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC9938;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC9968;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC9993;001;01/01/2018 00:00;31/12/2099 00:00;91,0
P001;001;01/01/2018 00:00;31/12/2099 00:00;0,92
P002;001;01/01/2018 00:00;31/12/2099 00:00;1,02
P003;001;01/01/2018 00:00;31/12/2099 00:00;1,36
P004;001;01/01/2018 00:00;31/12/2099 00:00;1,46
P005;001;01/01/2018 00:00;31/12/2099 00:00;1,63
P006;001;01/01/2018 00:00;31/12/2099 00:00;1,33
P007;001;01/01/2018 00:00;31/12/2099 00:00;1,41
P008;001;01/01/2018 00:00;31/12/2099 00:00;1,45
P009;001;01/01/2018 00:00;31/12/2099 00:00;1,7
P011;001;01/01/2018 00:00;31/12/2099 00:00;1,93
P012;001;01/01/2018 00:00;31/12/2099 00:00;0,79
P013;001;01/01/2018 00:00;31/12/2099 00:00;1,26
P015;001;01/01/2018 00:00;31/12/2099 00:00;1,69
P016;001;01/01/2018 00:00;31/12/2099 00:00;0,71
P017;001;01/01/2018 00:00;31/12/2099 00:00;2,07
P019;001;01/01/2018 00:00;31/12/2099 00:00;2,57
P020;001;01/01/2018 00:00;31/12/2099 00:00;2,91
P021;001;01/01/2018 00:00;31/12/2099 00:00;1,89
P022;001;01/01/2018 00:00;31/12/2099 00:00;0,15
P023;001;01/01/2018 00:00;31/12/2099 00:00;1,64
P024;001;01/01/2018 00:00;31/12/2099 00:00;1,74
P025;001;01/01/2018 00:00;31/12/2099 00:00;1,85
P030;001;01/01/2018 00:00;31/12/2099 00:00;2,9
P031;001;01/01/2018 00:00;31/12/2099 00:00;3,02
P041;003;01/01/2018 00:00;31/12/2099 00:00;0,5
P042;001;01/01/2018 00:00;31/12/2099 00:00;1,02
P043;001;01/01/2018 00:00;31/12/2099 00:00;0,78
P050;001;01/01/2018 00:00;31/12/2099 00:00;1,26
P052;001;01/01/2018 00:00;31/12/2099 00:00;1,69
PELMBOIS;001;01/01/2018 00:00;31/12/2099 00:00;27,08
PELMETAL;001;01/01/2018 00:00;31/12/2099 00:00;10,2
PELPLAST1;001;01/01/2018 00:00;31/12/2099 00:00;5,83
POCH10;001;01/01/2018 00:00;31/12/2099 00:00;4,63
POCH1;001;01/01/2018 00:00;31/12/2099 00:00;0,86
POCH2;001;01/01/2018 00:00;31/12/2099 00:00;1,01
POCH3;001;01/01/2018 00:00;31/12/2099 00:00;1,24
POCH4;001;01/01/2018 00:00;31/12/2099 00:00;1,58
POCH5;001;01/01/2018 00:00;31/12/2099 00:00;1,75
POCH6;001;01/01/2018 00:00;31/12/2099 00:00;2,02
POCH7;001;01/01/2018 00:00;31/12/2099 00:00;2,43
POCH8;001;01/01/2018 00:00;31/12/2099 00:00;2,87
POCH9;001;01/01/2018 00:00;31/12/2099 00:00;3,93
PPN30;001;01/01/2018 00:00;31/12/2099 00:00;10,45
PPN40;001;01/01/2018 00:00;31/12/2099 00:00;12,15
PPN50;001;01/01/2018 00:00;31/12/2099 00:00;16,01
PPS100;001;01/01/2018 00:00;31/12/2099 00:00;18,6
PPS20;001;01/01/2018 00:00;31/12/2099 00:00;5,38
