gl_naturepieceg;gl_souche;gl_numero;gl_numligne;gl_datepiece;gl_tiers;gl_representant;gl_codearticle;gl_puht;gl_puttc;gl_qtefact;gl_remiseligne;gl_montantht;gl_montantttc
FAC;;VTE/2021/04205;2;21/07/2021;GILG;FERRE;ENV1;0,16;0,19;25,0;0;4,0;4,8
FAC;;VTE/2021/04205;3;21/07/2021;GILG;FERRE;ENV2;0,17;0,2;25,0;0;4,25;5,1
FAC;;VTE/2021/04205;4;21/07/2021;GILG;FERRE;F035;29,66;35,59;1,0;0;29,66;35,59
FAC;;VTE/2021/04205;5;21/07/2021;GILG;FERRE;F010;11,37;13,64;1,0;0;11,37;13,64
FAC;;VTE/2021/04205;6;21/07/2021;GILG;FERRE;F046;18,66;22,39;1,0;0;18,66;22,39
FAC;;VTE/2021/04205;7;21/07/2021;GILG;FERRE;F413;14,87;17,84;1,0;0;14,87;17,84
FAC;;VTE/2021/04205;8;21/07/2021;GILG;FERRE;CHEPL9ASS;23,9;28,68;1,0;0;23,9;28,68
FAC;;VTE/2021/04206;1;21/07/2021;ALLORIEN25;DECRO;HY242;13,61;16,33;1,0;0;13,61;16,33
FAC;;VTE/2021/04206;2;21/07/2021;ALLORIEN25;DECRO;HY155ASS;18,38;22,06;1,0;0;18,38;22,06
FAC;;VTE/2021/04206;3;21/07/2021;ALLORIEN25;DECRO;HY172BC;15,11;18,13;1,0;0;15,11;18,13
FAC;;VTE/2021/04206;4;21/07/2021;ALLORIEN25;DECRO;HY004;32,15;38,58;1,0;0;32,15;38,58
FAC;;VTE/2021/04206;5;21/07/2021;ALLORIEN25;DECRO;HY175;19,3;23,16;1,0;0;19,3;23,16
FAC;;VTE/2021/04206;6;21/07/2021;ALLORIEN25;DECRO;HY037;52,48;62,98;1,0;0;52,48;62,98
FAC;;VTE/2021/04206;7;21/07/2021;ALLORIEN25;DECRO;HY173;12,42;14,9;1,0;0;12,42;14,9
FAC;;VTE/2021/04207;1;21/07/2021;CAFECOMMAR;GASSM;C036ROU;38,5;46,2;20,0;0;770,0;924,0
FAC;;VTE/2021/04207;2;21/07/2021;CAFECOMMAR;GASSM;HY242;13,61;16,33;3,0;0;40,83;49,0
FAC;;VTE/2021/04208;1;21/07/2021;OMNIUMFI31;GASSM;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04208;2;21/07/2021;OMNIUMFI31;GASSM;F068;32,75;39,3;2,0;0;65,5;78,6
FAC;;VTE/2021/04208;3;21/07/2021;OMNIUMFI31;GASSM;F005;39,85;47,82;2,0;0;79,7;95,64
FAC;;VTE/2021/04208;4;21/07/2021;OMNIUMFI31;GASSM;F007;57,51;69,01;2,0;0;115,02;138,02
FAC;;VTE/2021/04208;5;21/07/2021;OMNIUMFI31;GASSM;F024ASS;11,32;13,58;3,0;0;33,96;40,75
FAC;;VTE/2021/04208;6;21/07/2021;OMNIUMFI31;GASSM;F061;19,3;23,16;2,0;0;38,6;46,32
FAC;;VTE/2021/04208;7;21/07/2021;OMNIUMFI31;GASSM;F069;25,3;30,36;2,0;0;50,6;60,72
